id,title,city,locality,property_type,bhk,area_sqft,bathrooms,furnishing,parking,rent,latitude,longitude
417,2 BHK Apartment in Maitri Nagar,Bhilai,Maitri Nagar,Apartment,2,834,2,Unfurnished,Yes,10900,21.188748,81.349666
418,1 BHK Apartment in Telibandha,Raipur,Telibandha,Apartment,1,634,1,Semi-Furnished,Yes,14900,21.241971,81.656569
419,2 BHK Apartment in Sector 5,Bhilai,Sector 5,Apartment,2,1145,1,Unfurnished,Yes,9900,21.196766,81.347571
420,3 BHK Apartment in Smriti Nagar,Bhilai,Smriti Nagar,Apartment,3,1472,3,Unfurnished,No,9200,21.21385,81.381924
421,4 BHK Apartment in Shanti Nagar,Bhilai,Shanti Nagar,Apartment,4,2006,3,Unfurnished,Yes,16300,21.204968,81.35815
422,2 BHK Apartment in Avanti Vihar,Raipur,Avanti Vihar,Apartment,2,843,2,Semi-Furnished,Yes,15800,21.238038,81.656282
423,4 BHK Independent House in Sector 5,Bhilai,Sector 5,Independent House,4,2146,4,Furnished,Yes,23300,21.188125,81.344924
424,2 BHK Apartment in Risali,Bhilai,Risali,Apartment,2,1142,2,Unfurnished,Yes,12200,21.191461,81.356876
425,2 BHK Apartment in Civil Lines,Raipur,Civil Lines,Apartment,2,847,2,Furnished,Yes,22900,21.253668,81.601815
426,2 BHK Apartment in Sector 7,Bhilai,Sector 7,Apartment,2,1128,2,Furnished,Yes,14500,21.197246,81.337006
427,2 BHK Apartment in Saddu,Raipur,Saddu,Apartment,2,1075,2,Unfurnished,Yes,17200,21.270245,81.665195
428,2 BHK Independent House in Katora Talab,Raipur,Katora Talab,Independent House,2,1161,2,Unfurnished,Yes,19000,21.235398,81.630267
429,2 BHK Independent House in Avanti Vihar,Raipur,Avanti Vihar,Independent House,2,885,2,Unfurnished,Yes,15600,21.23275,81.644476
430,2 BHK Apartment in Shanti Nagar,Bhilai,Shanti Nagar,Apartment,2,790,2,Semi-Furnished,Yes,7400,21.198371,81.354061
431,4 BHK Apartment in Saddu,Raipur,Saddu,Apartment,4,2232,4,Unfurnished,No,32600,21.274822,81.669183
432,2 BHK Apartment in Civic Centre,Bhilai,Civic Centre,Apartment,2,1052,2,Semi-Furnished,Yes,11100,21.197383,81.27984
433,1 BHK Apartment in Shanti Nagar,Bhilai,Shanti Nagar,Apartment,1,634,1,Semi-Furnished,No,5100,21.203601,81.365017
434,2 BHK Apartment in Charoda,Bhilai,Charoda,Apartment,2,872,2,Semi-Furnished,Yes,5700,21.229008,81.411095
435,2 BHK Independent House in Katora Talab,Raipur,Katora Talab,Independent House,2,1140,2,Furnished,Yes,24800,21.239758,81.616141
436,3 BHK Apartment in Kachna,Raipur,Kachna,Apartment,3,1290,3,Unfurnished,Yes,19400,21.276628,81.651553
437,3 BHK Apartment in Charoda,Bhilai,Charoda,Apartment,3,1633,2,Semi-Furnished,Yes,10900,21.226833,81.420667
438,2 BHK Apartment in Devendra Nagar,Raipur,Devendra Nagar,Apartment,2,1145,2,Furnished,Yes,27700,21.248425,81.637977
439,2 BHK Independent House in Civil Lines,Raipur,Civil Lines,Independent House,2,835,2,Semi-Furnished,No,21900,21.244334,81.600934
440,1 BHK Independent House in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Independent House,1,686,1,Semi-Furnished,Yes,14700,21.253647,81.617229
441,1 BHK Apartment in Kohka,Bhilai,Kohka,Apartment,1,552,1,Semi-Furnished,Yes,4100,21.200997,81.393179
442,1 BHK Independent House in Naya Raipur,Raipur,Naya Raipur,Independent House,1,508,1,Unfurnished,No,9800,21.157486,81.787688
443,3 BHK Independent House in Katora Talab,Raipur,Katora Talab,Independent House,3,1732,2,Furnished,Yes,35600,21.236634,81.618618
444,1 BHK Apartment in Naya Raipur,Raipur,Naya Raipur,Apartment,1,573,1,Semi-Furnished,No,9800,21.168051,81.781267
445,1 BHK Apartment in Shankar Nagar,Raipur,Shankar Nagar,Apartment,1,508,1,Furnished,Yes,12200,21.254104,81.625028
446,1 BHK Apartment in Sector 9,Bhilai,Sector 9,Apartment,1,631,1,Semi-Furnished,Yes,6900,21.193269,81.329542
447,3 BHK Apartment in Katora Talab,Raipur,Katora Talab,Apartment,3,1730,3,Furnished,No,33500,21.24674,81.626238
448,3 BHK Apartment in Naya Raipur,Raipur,Naya Raipur,Apartment,3,1300,3,Unfurnished,Yes,21700,21.166466,81.785078
449,2 BHK Apartment in Naya Raipur,Raipur,Naya Raipur,Apartment,2,766,2,Unfurnished,Yes,12000,21.166131,81.792134
450,2 BHK Apartment in Pandri,Raipur,Pandri,Apartment,2,1189,2,Semi-Furnished,No,19300,21.263663,81.629509
451,2 BHK Apartment in Sector 5,Bhilai,Sector 5,Apartment,2,754,1,Semi-Furnished,No,7500,21.195738,81.349542
452,2 BHK Independent House in Sector 9,Bhilai,Sector 9,Independent House,2,1015,2,Semi-Furnished,Yes,10700,21.196089,81.328185
453,4 BHK Independent House in Sector 5,Bhilai,Sector 5,Independent House,4,2277,4,Semi-Furnished,Yes,21900,21.197123,81.342606
454,3 BHK Apartment in Charoda,Bhilai,Charoda,Apartment,3,1581,3,Furnished,Yes,12100,21.226202,81.425594
455,3 BHK Apartment in Kachna,Raipur,Kachna,Apartment,3,1183,3,Unfurnished,Yes,17600,21.269662,81.655088
456,3 BHK Apartment in Kachna,Raipur,Kachna,Apartment,3,1418,2,Semi-Furnished,Yes,28400,21.268551,81.65428
457,2 BHK Apartment in Telibandha,Raipur,Telibandha,Apartment,2,891,2,Unfurnished,Yes,16600,21.237447,81.658615
458,1 BHK Apartment in Naya Raipur,Raipur,Naya Raipur,Apartment,1,526,1,Semi-Furnished,No,10300,21.161649,81.785142
459,2 BHK Apartment in Shankar Nagar,Raipur,Shankar Nagar,Apartment,2,865,1,Unfurnished,Yes,17300,21.243515,81.632925
460,1 BHK Apartment in Power House,Bhilai,Power House,Apartment,1,478,1,Furnished,No,5800,21.214922,81.31162
461,3 BHK Apartment in Risali,Bhilai,Risali,Apartment,3,1764,3,Semi-Furnished,Yes,23500,21.188219,81.347909
462,1 BHK Apartment in Sector 5,Bhilai,Sector 5,Apartment,1,534,1,Unfurnished,No,5100,21.198179,81.344206
463,2 BHK Independent House in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Independent House,2,1045,1,Semi-Furnished,Yes,21300,21.25607,81.611883
464,3 BHK Apartment in Naya Raipur,Raipur,Naya Raipur,Apartment,3,1506,3,Semi-Furnished,No,26600,21.15665,81.787849
465,2 BHK Independent House in Naya Raipur,Raipur,Naya Raipur,Independent House,2,965,2,Semi-Furnished,Yes,21100,21.164534,81.786933
466,2 BHK Apartment in Magneto Mall Area,Raipur,Magneto Mall Area,Apartment,2,1134,2,Furnished,No,22900,21.247357,81.649795
467,3 BHK Apartment in Magneto Mall Area,Raipur,Magneto Mall Area,Apartment,3,1497,3,Unfurnished,No,27500,21.24652,81.657096
468,1 BHK Independent House in Kohka,Bhilai,Kohka,Independent House,1,692,1,Semi-Furnished,Yes,6000,21.210363,81.388576
469,3 BHK Apartment in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Apartment,3,1331,3,Unfurnished,Yes,21300,21.260765,81.617104
470,4 BHK Apartment in Katora Talab,Raipur,Katora Talab,Apartment,4,1979,3,Unfurnished,Yes,29700,21.234054,81.61551
471,2 BHK Apartment in Kabir Nagar,Raipur,Kabir Nagar,Apartment,2,865,2,Unfurnished,No,11800,21.250134,81.623762
472,2 BHK Apartment in Maitri Nagar,Bhilai,Maitri Nagar,Apartment,2,1124,1,Unfurnished,No,13900,21.193472,81.347701
473,3 BHK Apartment in Mowa,Raipur,Mowa,Apartment,3,1614,2,Semi-Furnished,Yes,24400,21.278156,81.687708
474,3 BHK Independent House in Junwani,Bhilai,Junwani,Independent House,3,1704,3,Unfurnished,Yes,14500,21.209261,81.368351
475,3 BHK Independent House in Maitri Nagar,Bhilai,Maitri Nagar,Independent House,3,1686,3,Unfurnished,Yes,22700,21.182756,81.34994
476,2 BHK Apartment in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Apartment,2,904,2,Unfurnished,Yes,14400,21.257632,81.616383
477,2 BHK Apartment in Shankar Nagar,Raipur,Shankar Nagar,Apartment,2,1120,2,Semi-Furnished,No,21300,21.244951,81.628497
478,3 BHK Apartment in Supela,Bhilai,Supela,Apartment,3,1513,3,Semi-Furnished,Yes,14400,21.189751,81.313497
479,1 BHK Independent House in Civic Centre,Bhilai,Civic Centre,Independent House,1,635,1,Unfurnished,Yes,7200,21.192505,81.279362
480,2 BHK Apartment in Katora Talab,Raipur,Katora Talab,Apartment,2,890,2,Semi-Furnished,Yes,16100,21.238113,81.620222
481,2 BHK Apartment in Pandri,Raipur,Pandri,Apartment,2,1154,2,Unfurnished,Yes,18000,21.256535,81.629218
482,2 BHK Independent House in Sector 5,Bhilai,Sector 5,Independent House,2,1013,2,Unfurnished,No,8900,21.194022,81.349371
483,3 BHK Apartment in Kachna,Raipur,Kachna,Apartment,3,1649,3,Unfurnished,Yes,24900,21.264186,81.65633
484,2 BHK Apartment in Sector 9,Bhilai,Sector 9,Apartment,2,880,2,Furnished,Yes,11500,21.1891,81.327125
485,3 BHK Apartment in Kabir Nagar,Raipur,Kabir Nagar,Apartment,3,1227,3,Semi-Furnished,Yes,22900,21.240158,81.6174
486,2 BHK Apartment in Risali,Bhilai,Risali,Apartment,2,763,2,Unfurnished,No,7800,21.191338,81.349747
487,2 BHK Independent House in Sarona,Raipur,Sarona,Independent House,2,1093,2,Unfurnished,No,15100,21.234944,81.594089
488,3 BHK Apartment in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Apartment,3,1236,3,Semi-Furnished,Yes,24500,21.254042,81.617559
489,3 BHK Independent House in Sector 5,Bhilai,Sector 5,Independent House,3,1133,3,Unfurnished,No,11300,21.199637,81.346079
490,1 BHK Independent House in Kachna,Raipur,Kachna,Independent House,1,683,1,Furnished,Yes,17300,21.276855,81.653352
491,3 BHK Independent House in Shanti Nagar,Bhilai,Shanti Nagar,Independent House,3,1728,3,Semi-Furnished,Yes,14300,21.203723,81.358598
492,2 BHK Independent House in Sector 9,Bhilai,Sector 9,Independent House,2,1137,2,Unfurnished,Yes,12600,21.194355,81.325339
493,2 BHK Independent House in Devendra Nagar,Raipur,Devendra Nagar,Independent House,2,918,2,Unfurnished,No,18300,21.252702,81.640477
494,4 BHK Apartment in Civil Lines,Raipur,Civil Lines,Apartment,4,2269,3,Furnished,Yes,66200,21.245931,81.615135
495,2 BHK Apartment in Devendra Nagar,Raipur,Devendra Nagar,Apartment,2,1073,2,Semi-Furnished,Yes,19100,21.25404,81.647161
496,4 BHK Apartment in Supela,Bhilai,Supela,Apartment,4,2136,3,Unfurnished,No,17400,21.189592,81.314103
497,4 BHK Apartment in Devendra Nagar,Raipur,Devendra Nagar,Apartment,4,1936,4,Semi-Furnished,No,36600,21.252556,81.643079
498,2 BHK Apartment in Smriti Nagar,Bhilai,Smriti Nagar,Apartment,2,1177,2,Unfurnished,Yes,8400,21.209215,81.381335
499,4 BHK Apartment in Maitri Nagar,Bhilai,Maitri Nagar,Apartment,4,1612,4,Semi-Furnished,Yes,21100,21.194334,81.355834
500,2 BHK Apartment in Pandri,Raipur,Pandri,Apartment,2,817,1,Unfurnished,Yes,13000,21.262384,81.641423
501,2 BHK Apartment in Civic Centre,Bhilai,Civic Centre,Apartment,2,1031,2,Semi-Furnished,Yes,13000,21.187675,81.280352
502,2 BHK Apartment in Sector 9,Bhilai,Sector 9,Apartment,2,964,2,Unfurnished,No,9800,21.194444,81.331503
503,2 BHK Apartment in Civic Centre,Bhilai,Civic Centre,Apartment,2,804,2,Unfurnished,Yes,9400,21.193027,81.284913
504,3 BHK Apartment in Sector 7,Bhilai,Sector 7,Apartment,3,1192,3,Semi-Furnished,Yes,13700,21.196105,81.339425
505,2 BHK Apartment in Shankar Nagar,Raipur,Shankar Nagar,Apartment,2,1109,1,Semi-Furnished,Yes,23400,21.247719,81.636406
506,3 BHK Apartment in Kohka,Bhilai,Kohka,Apartment,3,1751,2,Furnished,Yes,15200,21.19891,81.388209
507,1 BHK Apartment in Power House,Bhilai,Power House,Apartment,1,518,1,Semi-Furnished,Yes,4700,21.208417,81.317244
508,4 BHK Apartment in Katora Talab,Raipur,Katora Talab,Apartment,4,2085,4,Semi-Furnished,Yes,33000,21.241609,81.6173
509,2 BHK Apartment in Shankar Nagar,Raipur,Shankar Nagar,Apartment,2,779,2,Unfurnished,Yes,13700,21.25557,81.633853
510,2 BHK Independent House in Pandri,Raipur,Pandri,Independent House,2,1161,1,Furnished,Yes,29100,21.263562,81.638987
511,3 BHK Apartment in Devendra Nagar,Raipur,Devendra Nagar,Apartment,3,1693,3,Semi-Furnished,Yes,31900,21.256106,81.639235
512,2 BHK Apartment in Kabir Nagar,Raipur,Kabir Nagar,Apartment,2,1168,2,Furnished,Yes,22200,21.243783,81.616579
513,3 BHK Apartment in Power House,Bhilai,Power House,Apartment,3,1249,3,Furnished,Yes,14200,21.204296,81.323056
514,3 BHK Apartment in Sector 9,Bhilai,Sector 9,Apartment,3,1704,2,Semi-Furnished,Yes,16800,21.188763,81.337549
515,1 BHK Apartment in Kohka,Bhilai,Kohka,Apartment,1,655,1,Semi-Furnished,No,5000,21.209819,81.39612
516,2 BHK Apartment in Power House,Bhilai,Power House,Apartment,2,930,2,Unfurnished,No,7900,21.21479,81.321413
517,1 BHK Apartment in Charoda,Bhilai,Charoda,Apartment,1,598,1,Semi-Furnished,Yes,4000,21.227462,81.419898
518,3 BHK Apartment in Maitri Nagar,Bhilai,Maitri Nagar,Apartment,3,1723,3,Unfurnished,Yes,20800,21.193093,81.347228
519,2 BHK Apartment in Sector 9,Bhilai,Sector 9,Apartment,2,935,1,Semi-Furnished,Yes,9500,21.191204,81.330664
520,3 BHK Independent House in Shanti Nagar,Bhilai,Shanti Nagar,Independent House,3,1481,3,Unfurnished,Yes,11200,21.200014,81.356857
521,4 BHK Apartment in Saddu,Raipur,Saddu,Apartment,4,2236,3,Unfurnished,Yes,38500,21.280145,81.666416
522,2 BHK Independent House in Sector 9,Bhilai,Sector 9,Independent House,2,1082,2,Semi-Furnished,Yes,12900,21.184072,81.335837
523,2 BHK Apartment in Avanti Vihar,Raipur,Avanti Vihar,Apartment,2,793,2,Semi-Furnished,Yes,16000,21.238395,81.654611
524,3 BHK Apartment in Maitri Nagar,Bhilai,Maitri Nagar,Apartment,3,1175,2,Unfurnished,Yes,12500,21.187669,81.355007
525,2 BHK Independent House in Charoda,Bhilai,Charoda,Independent House,2,1026,2,Semi-Furnished,Yes,7700,21.234375,81.420232
526,2 BHK Independent House in Shanti Nagar,Bhilai,Shanti Nagar,Independent House,2,1127,2,Semi-Furnished,Yes,11000,21.191257,81.363817
527,2 BHK Apartment in Kachna,Raipur,Kachna,Apartment,2,782,1,Furnished,Yes,15300,21.26378,81.649167
528,4 BHK Independent House in Kachna,Raipur,Kachna,Independent House,4,1915,3,Unfurnished,Yes,31600,21.262068,81.653779
529,3 BHK Independent House in Naya Raipur,Raipur,Naya Raipur,Independent House,3,1348,3,Unfurnished,Yes,23100,21.155335,81.781675
530,3 BHK Apartment in Civil Lines,Raipur,Civil Lines,Apartment,3,1371,3,Semi-Furnished,No,34400,21.250592,81.612395
531,2 BHK Apartment in Mowa,Raipur,Mowa,Apartment,2,1091,2,Semi-Furnished,Yes,17200,21.26572,81.695453
532,3 BHK Apartment in Civic Centre,Bhilai,Civic Centre,Apartment,3,1319,3,Semi-Furnished,Yes,17100,21.182503,81.277055
533,2 BHK Apartment in Devendra Nagar,Raipur,Devendra Nagar,Apartment,2,983,2,Furnished,No,19300,21.250002,81.638943
534,2 BHK Independent House in Mowa,Raipur,Mowa,Independent House,2,1118,2,Semi-Furnished,No,16900,21.278758,81.694377
535,3 BHK Apartment in Power House,Bhilai,Power House,Apartment,3,1364,3,Semi-Furnished,Yes,12600,21.216297,81.319829
536,4 BHK Apartment in Naya Raipur,Raipur,Naya Raipur,Apartment,4,2018,4,Semi-Furnished,Yes,39100,21.164444,81.791625
537,2 BHK Apartment in Sector 5,Bhilai,Sector 5,Apartment,2,914,2,Semi-Furnished,Yes,8800,21.200381,81.347354
538,1 BHK Independent House in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Independent House,1,481,1,Semi-Furnished,No,9700,21.262931,81.620551
539,3 BHK Apartment in Junwani,Bhilai,Junwani,Apartment,3,1589,3,Unfurnished,Yes,11800,21.223879,81.35995
540,4 BHK Independent House in Junwani,Bhilai,Junwani,Independent House,4,2344,4,Furnished,Yes,25100,21.209536,81.361586
541,2 BHK Independent House in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Independent House,2,755,2,Furnished,Yes,18700,21.258532,81.608671
542,3 BHK Apartment in Power House,Bhilai,Power House,Apartment,3,1122,2,Furnished,Yes,12200,21.21371,81.311694
543,2 BHK Independent House in Saddu,Raipur,Saddu,Independent House,2,788,2,Semi-Furnished,Yes,15000,21.276298,81.674913
544,3 BHK Apartment in Civic Centre,Bhilai,Civic Centre,Apartment,3,1381,3,Semi-Furnished,Yes,17400,21.191166,81.283765
545,2 BHK Independent House in Mowa,Raipur,Mowa,Independent House,2,1186,1,Unfurnished,No,20600,21.276168,81.699581
546,2 BHK Apartment in Pandri,Raipur,Pandri,Apartment,2,766,2,Semi-Furnished,No,14900,21.25139,81.638371
547,4 BHK Apartment in Charoda,Bhilai,Charoda,Apartment,4,2240,3,Semi-Furnished,Yes,15700,21.227718,81.417805
548,3 BHK Apartment in Avanti Vihar,Raipur,Avanti Vihar,Apartment,3,1208,3,Semi-Furnished,No,23900,21.235468,81.653941
549,3 BHK Apartment in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Apartment,3,1218,3,Unfurnished,No,21800,21.248911,81.617326
550,3 BHK Apartment in Kabir Nagar,Raipur,Kabir Nagar,Apartment,3,1138,3,Semi-Furnished,Yes,17800,21.248886,81.620396
551,4 BHK Apartment in Saddu,Raipur,Saddu,Apartment,4,1957,4,Unfurnished,Yes,29400,21.275038,81.672963
552,2 BHK Apartment in Sector 5,Bhilai,Sector 5,Apartment,2,1113,1,Semi-Furnished,Yes,12500,21.197162,81.344988
553,2 BHK Independent House in Saddu,Raipur,Saddu,Independent House,2,1195,2,Unfurnished,No,22000,21.266868,81.669288
554,1 BHK Apartment in Charoda,Bhilai,Charoda,Apartment,1,698,1,Furnished,Yes,5300,21.233015,81.410131
555,2 BHK Independent House in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Independent House,2,1133,2,Semi-Furnished,Yes,21500,21.261345,81.60824
556,1 BHK Independent House in Civic Centre,Bhilai,Civic Centre,Independent House,1,492,1,Semi-Furnished,Yes,6500,21.192099,81.291436
557,3 BHK Apartment in Katora Talab,Raipur,Katora Talab,Apartment,3,1561,3,Unfurnished,Yes,22900,21.247589,81.623625
558,3 BHK Apartment in Civic Centre,Bhilai,Civic Centre,Apartment,3,1181,3,Semi-Furnished,No,14500,21.195652,81.289208
559,2 BHK Apartment in Saddu,Raipur,Saddu,Apartment,2,860,1,Semi-Furnished,Yes,15800,21.273186,81.671474
560,3 BHK Apartment in Katora Talab,Raipur,Katora Talab,Apartment,3,1697,3,Semi-Furnished,Yes,29000,21.247353,81.623956
561,3 BHK Apartment in Saddu,Raipur,Saddu,Apartment,3,1675,3,Semi-Furnished,No,31200,21.272167,81.675453
562,1 BHK Apartment in Civic Centre,Bhilai,Civic Centre,Apartment,1,660,1,Semi-Furnished,No,7000,21.185954,81.284812
563,3 BHK Apartment in Sector 7,Bhilai,Sector 7,Apartment,3,1146,2,Furnished,Yes,14800,21.188022,81.330984
564,2 BHK Apartment in Smriti Nagar,Bhilai,Smriti Nagar,Apartment,2,964,2,Furnished,Yes,8300,21.201702,81.374204
565,2 BHK Apartment in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Apartment,2,950,2,Semi-Furnished,No,16400,21.253174,81.609857
566,3 BHK Apartment in Junwani,Bhilai,Junwani,Apartment,3,1281,3,Unfurnished,Yes,10900,21.21395,81.371502
567,1 BHK Independent House in Kabir Nagar,Raipur,Kabir Nagar,Independent House,1,534,1,Unfurnished,No,9300,21.252301,81.624372
568,3 BHK Independent House in Sarona,Raipur,Sarona,Independent House,3,1426,3,Unfurnished,Yes,22700,21.227976,81.604289
569,1 BHK Independent House in Junwani,Bhilai,Junwani,Independent House,1,579,1,Semi-Furnished,Yes,5800,21.22162,81.36457
570,3 BHK Independent House in Kachna,Raipur,Kachna,Independent House,3,1482,3,Semi-Furnished,No,29400,21.27309,81.657885
571,3 BHK Apartment in Charoda,Bhilai,Charoda,Apartment,3,1504,3,Semi-Furnished,Yes,11200,21.229529,81.411267
572,2 BHK Apartment in Supela,Bhilai,Supela,Apartment,2,1081,2,Unfurnished,Yes,7500,21.198085,81.319081
573,2 BHK Independent House in Devendra Nagar,Raipur,Devendra Nagar,Independent House,2,842,2,Furnished,Yes,19600,21.249037,81.634874
574,1 BHK Apartment in Saddu,Raipur,Saddu,Apartment,1,489,1,Semi-Furnished,Yes,9400,21.273171,81.667873
575,3 BHK Apartment in Nehru Nagar,Bhilai,Nehru Nagar,Apartment,3,1172,3,Semi-Furnished,No,10500,21.189774,81.343665
576,3 BHK Apartment in Risali,Bhilai,Risali,Apartment,3,1252,2,Semi-Furnished,Yes,16700,21.186064,81.343604
577,2 BHK Independent House in Kabir Nagar,Raipur,Kabir Nagar,Independent House,2,940,2,Semi-Furnished,Yes,17400,21.250428,81.620757
578,3 BHK Apartment in Kachna,Raipur,Kachna,Apartment,3,1111,3,Semi-Furnished,Yes,18200,21.265809,81.653487
579,2 BHK Apartment in Magneto Mall Area,Raipur,Magneto Mall Area,Apartment,2,925,2,Semi-Furnished,Yes,16900,21.245052,81.653039
580,3 BHK Apartment in Power House,Bhilai,Power House,Apartment,3,1616,2,Semi-Furnished,No,13600,21.207179,81.319014
581,2 BHK Apartment in Civil Lines,Raipur,Civil Lines,Apartment,2,883,2,Unfurnished,Yes,19800,21.2465,81.605959
582,2 BHK Apartment in Supela,Bhilai,Supela,Apartment,2,883,2,Unfurnished,No,7300,21.198487,81.319638
